,POSTS,PREPROCESSED_POSTS,LUBIE_TO,SUPER,TRZYMAJ_SIE,HAHA,WOW,PRZYKRO_MI,WRR,ALL_REACTIONS,COMMENTS,POLARITY,SUBJECTIVITY,SIMILARITY_TO_BEST,POSTS_LENGTH,POSTS_SENTIMENT,TWENTY_REACTS_BAYES,FIFTY_REACTS_BAYES,HUNDRED_REACTS_BAYES,TWO_HUNDRED_REACTS_BAYES
10," Siemano kapitany mam delikatne dwa pytania, ogoliłem se jajca pierwszy raz kremem do depilacji no i są całe czerwone i szczypią gdzie w okolicach prącia nie ma tego problemu, jakieś rady jak temu zaradzić, miał ktoś tak? A druga sprawa to dotyczy żeli do higieny intymnej, nakładacie je tylko na zewnętrzną część czy również na żołądź?",siemano kapitany mieć delikatny pytanie ogolić se jajca pierwszy krem depilacja czerwony szczypać okolica prącie mieć problem jakieś rada zaradzić mieć drugi sprawa dotyczyć żele higiena intymny nakładać zewnętrzny część żołądź,3,0,11,0,0,0,0,14,55,0.0,0.0,0.8785702858366498,63,0.5714285714285714,0,0,0,0
11, prezentpodchoinke ej ziomale co kupujecie babom pod choinkę? bo ostatnio na urodziny i rocznice wyjebalem sie z pomysłów i szukam inspiracji tylko pls bez jakiś stulejskich pomysłów bo szukałem coś kreatywnego na allegro ale jedyne co znalazłem to jakieś stulejarskie tabsy januszowskie,prezentpodchoinke ej ziomal kupować baba choinka ostatnio urodziny rocznica wyjebalem pomysł szukać inspiracja pls stulejskich pomysł szukać kreatywny allegro jedyny znaleźć jakieś stulejarskie tabsy januszowskie,4,0,0,18,0,2,0,24,61,0.0,0.0,0.84075189285441,44,0.8333333333333333,0,0,0,0
12," Siemanko chłopy, mam problem z moim psiakiem który notorycznie ucieka mi z podwórka i ugania się za pannami w okolicy. Pomyślałem że na święta kupie mu obrożę GPS żeby zobaczyć którędy zwiewa. Ktoś może miał już podobny problem i ma jakiś produkt godny polecenia?",siemanko chłop mieć problem psiak notorycznie uciekać podwórko uganiać panna okolica pomyśleć święto kupie obroża gps zobaczyć którędy zwiewać móc mieć podobny problem mieć produkt godny polecenie,7,0,2,0,0,0,0,9,35,0.0,0.0,0.8522781346202131,49,0.5555555555555556,0,0,0,0
13," Siema, jako ze totalnie znudziło mi się picie piwa lub różnych rodzai wódek z druga osoba mam do was pytanie. Co polecacie jako alternatywę? Jakieś ciekawe driny lub inny rodzaj alkoholu.",siema totalnie znudzić pita piwo różny rodzaj wódka drugi osoba mieć pytanie polecać alternatywa jakieś ciekawy driny rodzaj alkohol,5,0,0,0,0,0,0,5,128,0.0,0.0,0.8139983404911949,36,1.0,0,0,0,0
14," postmotywacyjny Siema, często przewijają się tu tematy: siłki, diety, treningów itp. Pochwalcie się więc w komentarzach zdj. swojej formy, wraz z dopiskiem jak długo już ćwiczycie Ode mnie: 4 lata stażu 100 natural",postmotywacyjny siema przewijać temat siłka dieta trening itp pochwalić komentarz zdj swojej forma wraz dopisek długo ćwiczyć ode rok staż natural,101,76,0,0,20,0,0,198,173,0.1,0.4,0.7620431109507255,42,1.0,0,1,1,0
15, Post z czystej ciekawości odnośnie szczepień przeciwko covid19,post czysty ciekawość odnośnie szczepienie przeciwko,0,0,0,0,0,0,0,0,552,0.0,0.0,0.5028120574325536,9,0.0,0,0,0,0
16," Edit: Pogadalismy, poczytałem jej piękniejsze z waszych wypowiedzi. Stwierdziła że bez problemu może zerwać kontakt. Uświadomiłem ją jak to wygląda dla mnie i dla was, nie była zachwycona. Uzgodniliśmy że będzie sobie robić co będzie chciała, ale zawsze będzie mi o tym mówić. Ona powiedziała że ona wie że nic z nim robić nie będzie, a ja, że też wiem. Powinno być git, dzięki za wszystkie porady! Siema chłopy! Pytanie do was w związkach z babą. Sytuacja taka że zaczynam mieć jakiś alert bo, uwaga: 1. babka mówi że z kumplem X pisze tylko jak potrzebuje pomocy w matmie, ja mówię okej, fajnie że ci pomaga. 2. Nastepnego dnia do niej dzwonie, zajęte, pytam z kim rozmawiała. Okazuje sie że tak o sobie gadała z X. Bo jej było głupio że tylko z tą matmą do niego pisze i nie chciała go wykorzystywać tak. Mówię, że wcześniej jakoś jej to nie przeszkadzało no ale okej, niech sobie pisze, fajnie że ma kumpla. 3. jakieś 2 tygodnie później (dziś) mówi mi że z kumplem X sie umówiła na sesje fotograficzną i wyjście do maka. Mówię że szybko sie jej relacja pozmieniała z ziomkiem o którego miałem się nie martwić( napisała ...), ale przeciez jej nie zabronie spotkań z ludźmi (napisała no całe szczęście). Juz powoli zaczynam mieć takie wtf... przed chwilą ci tylko robił zadania. Pytania do was! Czy ja przesadzam że się zacząłem przejmować? Co wy byście zrobili? pls help",edit pogadalismy poczytać piękny waszych wypowiedź stwierdzić problem móc zerwać kontakt uświadomić wyglądać zachwycona uzgodnić robić chcieć mówić powiedzieć wiedzieć robić wiedzieć git dzięki porada siema chłop pytanie związka baba sytuacja zaczynać mieść alert uwaga babka mówić kumpel x pisać potrzebować pomoc matma mówić okej fajnie pomagać nastepnego dzień dzwono zajęty pytać kim rozmawiać okazywać gadać x głupio tą matma pisać chcieć wykorzystywać mówić wcześnie przeszkadzać okej pisać fajnie mieć kumpel jakieś tydzień późno mówić kumpel x umówić sesja fotograficzny wyjście mak mówić szybko relacja pozmieniać ziomek mieć martwić napisać zabronie spotkanie człowiek napisać szczęście powoli zaczynać mieść wtf chwila robić zadanie pytanie przesadzać zacząć przejmować byście zrobić pls help,13,0,57,0,0,0,0,72,82,-0.625,1.0,0.9289992965037305,289,0.5833333333333333,0,1,0,0
17," Cześć chłopaki. Przychodze z pytaniem dla osób na B2B albo innych prowadzących własną działalność gospodarczą. Jak widzicie przyszły rok? Planujecie zwiększyć swoje zarobki czy może powiecie sprawę i będziecie płacić kolejne podatki? Możliwością jeszcze jest wyprowadzka za granice. Niech rozwinie się dyskusja na ten temat, sam mocno gryzę się z tematem wyprowadzki do Niemiec i szukam zdania innych osób, które są w temacie. zdu tematyczne ofc",cześć chłopaki przychodze pytanie osoba prowadzący własny działalność gospodarczy widzieć przyszły rok planować zwiększyć zarobek powiedzieć sprawa płacić kolejny podatek możliwość wyprowadzka granica rozwinąć dyskusja temat mocno gryźć temat wyprowadzka Niemcy szukać zdanie osoba temat zdu tematyczny ofc,9,0,0,1,1,0,0,11,37,0.0,0.0,0.8221787174085259,75,1.0,0,0,0,0
18," Panowie z Poznania, głównie do was też pytanie, ale też do innych. Razem z dziewczyną planujemy wybrać się na sylwestra Poznania (Wiem, czasu niewiele). Sprawa wygląda tak, że nie mamy tam ekipy, a chcemy zostać sobie w jakimś spoko hotelu do niedzieli żeby pozwiedzac (możecie powiedzieć gdzie ją zabrać), ale główne pytanie dotyczy sylwestra. Gdzie możemy się wybrać żeby przywitać nowy rok? Może być jakieś plenerowe miejsce z fajerwerkami np, chodzi o to żeby fajnie spędzić czas we dwoje, ale nie siedząc w hotelu.",Poznań głównie pytanie razem dziewczyna planować wybrać sylwester Poznań wiedzieć czas niewiele sprawa wyglądać mieć ekipa chcieć zostać jakimś spoko hotel niedziela pozwiedzac móc powiedzieć zabrać główny pytanie dotyczyć sylwester móc wybrać przywitać nowy rok móc jakieś plenerowy miejsce fajerwerk np chodzić fajnie spędzić czas siedzieć hotel,0,0,0,0,0,0,0,0,13,0.0,0.0,0.8957052750718412,102,0.0,0,0,0,0
19," Pytanie trochę losowe, ale czy ktoś z Warszawy i okolic spotkał się z czymś co można by nazwać oszustwem na wodę destylowaną? Bo mój sędziwy już dziadek właśnie dumnie ogłosił, że jutro będzie miał dostawę 40 litrów tego specyfiku, i z rodziną nie wiemy na co się szykować.",pytanie trochę losowy Warszawa okolica spotkać czymś nazwać oszustwo woda destylowaną sędziwy dziadek dumnie ogłosić jutro mieć dostawa litr specyfik rodzina wiedzieć szykować,8,3,0,0,8,0,0,21,29,0.0,0.0,0.8983503254072479,54,1.0,0,0,0,0
20," Tldr ankieta taka sama jak ostatnio była, ale to nie kolezanka tylko kolega. Masz drugą połowę, jesteście razem już kilka lat. Macie dużo wspólnych znajomych, ale też środowiska, w których obracacie się oddzielnie (przez uczelnie fundacje prace). Latasz regularnie za granice z jednym z tych środowisk. Bez swojej osoby partnerskiej. Nie na imprezy czy wakacje, tylko służbowo w ramach organizacji. Ekipa mniej więcej stała każdego znasz co najmniej kilka lat. Podczas jednego z lotów liniami lowcost, Twój bardzo dobry znajomy przyjaciel (singiel, wiesz o nim, że jest gejem) mówi, że chce się zdrzemnąć, i pyta, czy może oprzeć swoją głowę na Twoim barku, żeby było mu wygodniej (fotele się nie rozkładają, nie ma poduszki). Na potrzeby sondy załóżmy, że przyjaciel jest całkiem atrakcyjny. Co robisz:",tldr ankieta ostatnio kolezanka kolega mieć drugi połowa jesteście razem rok mieć wspólny znajomy środowisko obracać oddzielnie uczelnia fundacja praca latać regularnie granica środowisko swojej osoba partnerski impreza wakacje służbowo ramy organizacja ekipa stać każdego znać rok lot linia lowcost dobry znajomy przyjaciel singiel wiedzieć gej mówić chcieć zdrzemnąć pytać móc oprzeć swoją głowa bark wygodno fotel rozkładać mieć poduszka potrzeba sonda załóżmy przyjaciel całkiem atrakcyjny robić,2,0,0,14,0,0,0,16,84,0.0,0.0,0.8941493460894173,156,1.0,0,1,0,0
21," Siemka czy jest tu ktoś z Tomaszowa mazowieckiego ? Potrzebuje pomocy. Trzeba coś odebrać, pociąć szlifierką i wysłać do mnie...",Siemek Tomaszów mazowiecki potrzebować pomoc odebrać pociąć szlifierka wysłać,0,0,0,0,0,0,0,0,2,0.0,0.0,0.7926145956894461,26,0.0,0,0,0,0
22," Cześć panowie. Czy macie może do polecenia dobrego psychologa w Wawie? Od dłuższego czasu psycha siada mi coraz mocniej. Żyje w przekonaniu że mam wszystko a tak naprawdę nie mam nic. Potrzebuje kogoś kto by zaradził mi na uczucie pustki i takiego niebytu(?) w swoim życiu. I dobrze, jeśli psychologiem była by kobieta. Nie wiem czemu ale czuje ze przed facetem nie otworzyłbym się tak bardzo jak przy kobiecie. Z góry dziękuje",cześć mieć polecenie dobry psycholog wawie długi czas psycha siadać mocno żyć przekonanie mieć naprawdę mieć potrzebować kogoś zaradzić uczucie pustka takiego niebyt swoim życie psycholog kobieta wiedzieć czuć facet otworzyć kobieta góra dziękować,0,0,0,0,0,0,0,0,2,0.0,0.0,0.9019948100092104,84,0.0,0,0,0,0
23," Panowie, tak mnie naszło przy weekendzie. Jako ze lubię jakies słodkie i dziwne alkohole to może podrzućcie jakiś must have do barku? Najlepiej żeby kosztowało jakies normalne pieniądze (50100 zł za butelkę) i nie smakowało spirytem. Chodzi mi o likiery, smakowe whisky itp (wódki nie lubię). Może macie cos, co lubicie sobie sączyć z kieliszka dla smaku? Ja od siebie polecam m.in. Likier Dooleys o smaku toffee.",najść weekend lubić jakies słodki dziwny alkohol podrzucić must have bark kosztować jakies normalny pieniądz zł butelka smakować spiryt chodzić likier smakowy whisky itp wódka lubić mieć lubić sączyć kieliszek smak siebie polecać likier dooleys smak toffee,3,0,0,0,0,0,0,3,32,0.0,0.0,0.7940907735174687,82,1.0,0,0,0,0
24, Panowie Mam pytanko. Rozglądam się za jakąś zajebista maszynką do depilacji ciała. Polecicie coś sprawdzonego? Generalnie myślałem nad One Blade face and body. Ma ktoś? Jest ok? Z Fartem ,mieć pytanko rozglądać jakąś zajebisty maszynka depilacja ciało polecić sprawdzonego generalnie myśleć Blady face and bod mieć fart,2,0,0,0,0,0,0,2,13,0.5,0.5,0.6993058787397338,36,1.0,0,0,0,0
25," Hej Panowie, był ktoś z was kiedyś na masażu erotycznym? Jakie opinie? Polecicie jakiś na terenie Krakowa?",hej kiedyś masaż erotyczny opinia polecić teren Kraków,33,13,0,0,7,0,0,54,105,0.0,0.0,0.7604657468319137,22,1.0,0,0,0,0
26, NITKA NA PREZENTY ŚWIĄTECZNE CO KOMU KUPILIŚCIE,nitka prezenty świąteczny komu kupić,3,0,0,0,0,0,0,3,63,0.0,0.0,-0.09976894288631159,8,1.0,0,1,0,0
27," Chłopacy, kiedy jest dobry czas na zaręczyny? Po jakim czasie wy się oświadczyliście lub zamierzacie? Oczywiścieto indywiduala sprawa, ale jak to czujecie?",chłopak dobry czas zaręczyny jakim czas oświadczyliście zamierzać oczywiścieto indywiduala sprawa czuć,10,0,0,0,0,0,0,10,102,0.0,0.0,0.8832993721567711,28,1.0,0,0,0,0
28," Siema, ktoś z was zna się na tym suploszmelcu i podpowie czy to dobra inwestycja? Biegam na siłkę 3x w tyg. ale z przez pracę nie zawsze mam możliwość dobrze zjeść, że o regularnych posiłkach nie wspomne. Koleżka podpowiedział że taki zestaw spokojnoe zrekompensuje moje braki żywieniowe tyle że nie bardzo wierzę i chemię",siema znać suploszmelcu podpowiedzieć dobry inwestycja biegać siłka tyg praca mieć możliwość zjeść regularny posiłki wspomne koleżka podpowiedzieć zestaw spokojnoe zrekompensować brak żywieniowy tyle wierzyć chemia,0,0,0,8,0,24,0,33,95,0.0,0.0,0.9103071967930426,60,0.4545454545454546,0,0,0,0
29," Hej, Czy ktoś z was miał teratozoospermie ? Mi wyszło, że zaledwie 1 plemników jest ok.... Planujemy z żoną dziecko i teraz taka załamka ....",hej mieć teratozoospermie wyniść zaledwie plemnik planować żona dziecko załamek,0,0,90,0,0,20,0,117,47,0.5,0.5,0.8229277161046885,32,0.8803418803418803,0,1,0,0
30," Nie sądziłem że kiedy kolwiek będę tutaj prosił się o radę ale mam mały problem odkąd się zaczepiłem na covid w lipcu (nie do końca z własnej woli :)) drastyczne spadła mi odporność organizmu na choroby gdzie przed szczepieniem ostatni raz byłem chory może z dwa lata temu. W ciągu ostatnich 4 miesięcy byłem 78 razy chory co nie ukrywam jest męczące nie tylko dla portfela ale też dla zdrowia fizycznego i psychicznego. Objawy ciągle te same kaszel mokry , zatkane zatoki, katar. Byłem u lekarza, robiłem badania niby wszystko w porządku. Macie jakieś sposoby na wyrobienie sobie odporności? Staram się jeść naturalne źródła witamin pomarańcze, sok z cytryn itd niestety chyba będę musiał sięgnąć po chemię polecacie jakieś Witaminy, suplementy. Może ma ktoś podobny problem? Edit. Widzę że parę osób się spięło za mocno, nie napisałem że to szczepionka jest głównym powodem, a to że od tego momentu. Szczepionka to być może tylko przypadek... Być może więc zluzujcie majteczki ",sądzić kolwiek prosić rada mieć mały problem odkąd zaczepić covid lipiec koniec własny wole drastyczny spaść odporność organizm choroba szczepienie ostatni byłem chory móc rok ciąg ostatni miesiąc byłem chory ukrywać męczący portfel zdrowie fizyczny psychiczny objaw ciągle kaszel mokry zatkane zatoka katar lekarz robić badanie niby porządek mieć jakieś wyrobienie odporność starać jeść naturalny źródło witamina pomarańcza sok cytryna itd niestety chyba musieć sięgnąć chemia polecać jakieś witamina suplement mieć podobny problem edit widzieć parę osoba spiąć mocno napisać szczepionka główny powód moment szczepionka przypadek móc zluzować majteczki,8,0,10,5,0,0,0,25,67,0.25,0.5625,0.9114329476515269,180,0.19999999999999996,0,0,0,0
31," Cześć, jestem rok przed wyborem studiów i chciałbym powoli odkładać na życie w innym mieście. Znalazłem pracę w knajpie, ale bez statusu ucznia studenta dostaję pomniejszoną o składki stawkę. Słyszałem że da się to obejść zapisując się do żaka cosinusa czy innych szkół policealnych. Czy jest ktoś w stanie wytłumaczyć mi na czym to polega i jak dostać status bez chodzenia do szkoły lub wpadania tam raz w miesiącu?",cześć rok wybór studium chcieć powoli odkładać żyto miasto znaleźć praca knajpa status uczeń student dostawać pomniejszoną składka stawka słyszeć dać obejść zapisywać żako cosinus szkoła policealny stań wytłumaczyć czym polegać dostać status chodzenie szkoła wpadania miesiąc,1,0,0,0,0,0,0,1,8,0.0,0.0,0.8356115218737356,76,1.0,0,0,0,0
32, Siema Chciałbym poznać wasze opinie o wyciętej kresce na brwi u chłopaków co o tym powiecie ?,siema chcieć poznać opinia wyciętej kreska brew chłopak powiat,16,10,0,14,0,0,0,40,121,0.0,0.0,0.665804908543719,18,1.0,0,0,0,0
33," Cześć panowie, niedługo będę stal przed wyborem, i potrzebuje opinii ktora opcje wybrać. 1. Studia dziennie. 2. Studia zaoczne i praca w zawodzie. Co pomoże mi sie lepiej rozwinąć, która z tych opcji bedzie potem lepiej wyglądała na rynku pracy? Uczelnia Politechnika Warszawska, kierunek automatyka i robotyka.",cześć niedługo stal wybór potrzebować opinia opcja wybrać studium dziennie studium zaoczny praca zawód pomóc rozwinąć opcja potem wyglądać rynek praca uczelnia politechnika warszawski kierunek automatyk robotyka,6,0,2,0,0,0,0,8,80,0.0,0.0,0.7478486857177987,59,0.5,0,0,0,0
34," Masz dziewczynę, jesteście razem już kilka lat. Macie dużo wspólnych znajomych, ale też środowiska, w których obracacie się oddzielnie (przez uczelnie fundacje prace). Latasz regularnie za granice z jednym z tych środowisk. Bez swojej dziewczyny. Nie na imprezy czy wakacje, tylko służbowo w ramach organizacji. Ekipa mniej więcej stała każdego znasz co najmniej kilka lat. Podczas jednego z lotów liniami lowcost, Twoja bardzo dobra znajoma przyjaciółka (singielka) mówi, że chce się zdrzemnąć, i pyta, czy może oprzeć swoją głowę na Twoim barku, żeby było jej wygodniej (fotele się nie rozkładają, nie ma poduszki). Co robisz:",mieć dziewczyna jesteście razem rok mieć wspólny znajomy środowisko obracać oddzielnie uczelnia fundacja praca latać regularnie granica środowisko swojej dziewczyna impreza wakacje służbowo ramy organizacja ekipa stać każdego znać rok lot linia lowcost dobry znajoma przyjaciółka singielka mówić chcieć zdrzemnąć pytać móc oprzeć swoją głowa bark wygodno fotel rozkładać mieć poduszka robić,7,0,0,52,0,0,0,62,99,0.0,0.0,0.8596853249041354,120,1.0,0,1,0,0
35," Ej chłopy, bo tak sobie leżę i mam rozkminę. A co jeśli tak naprawdę macie schizofrenie i waszą partnerka partner jest tylko obiektem waszej wyobraźni, a ludzie wokół was nie chce was zrazić więc udają że ona on istnieje i żyjecie w kłamstwie całe życie. Albo tak naprawdę jesteście w szpitalu w izolatce i to całe życie sobie wyobrażacie ",ej chłop leżeć mieć rozkmina naprawdę mieć schizofrenia waszą partnerka partner obiekt waszej wyobraźnia lud wokół chcieć zrazić udawać istnieć żyć kłamstwo żyto naprawdę szpital izolatka żyto wyobrażać,28,9,0,74,0,0,0,121,68,0.0,0.0,0.8897220612191865,64,1.0,0,0,1,0
36," Cześć faceci, mam mały problem Chciałem zabrać moją kobietę na romantyczne oglądanie gwiazd, ale szczerze mówiąc nie znam się na tym Miał ktoś taki problem, potrzebuję szybką lekcję z astronomii, żeby zaskoczyć czymś moją piękną lubą Może ten post komuś się też przyda jako urozmaicenie i zaimponowanie swojej wybrance Z góry dziękuję za wszelką pomoc Ps: jak znacie jakieś klimatyczne romantyczne rymowanki to też dajcie znać ",cześć facet mieć mały problem chcieć zabrać moją kobieta romantyczny oglądanie gwiazda szczerze mówić znać mieć problem potrzebować szybki lekcja astronomia zaskoczyć czymś moją piękny luba posta komuś przydać urozmaicenie zaimponowanie swojej wybranka góra dziękować wszelką pomoc ps znać jakieś klimatyczny romantyczny rymowanka dać znać,8,6,0,0,0,0,0,14,30,0.0,0.0,0.8750637979630194,72,1.0,0,0,0,0
37," Witam szanowną społeczność. To nie tak że się chcę pochwalić, ale mnie to nurtuje... W sobotę na balecie, taka jedna wzięła mój nr telefonu (sama zapytała ) no to wziąłem jej telefon, wpisałem swój nr i puściłem jej sygnał, więc nie mam nowy że tego numeru jednak nie ma... No i się nie odezwała uważacie że powinienem jednak zrobić krok?",witać szanowny społeczność chcieć pochwalić nurtować sobota balet wziąć nr telefon zapytać wziąć telefon wpisać swój nr puścić sygnał mieć nowy numer mieć odezwać uważać powinienem zrobić krok,7,3,0,31,0,0,0,43,34,0.0,0.0,0.8509736827698835,74,1.0,0,0,0,0
38, Chłopy pytanie. W momencie gdy dziewczyna robi mi loda czasami mam takie uczucie jakby ktoś dosłownie przebijał mi penisa wielką igłą. Ból i kłucie masakryczne przy główce penisa. W randomowych momentach. Kiedyś myślałem ze to przez słabe umiejętności partneterki ale partnerek do teraz było wiele i problem ten sam. Ma ktoś z was tak? Jakoś idzie sobie z tym poradzić czy wada wrodzona i trzeba z tym żyć?,chłopy pytanie moment dziewczyna robić lód czas mieć uczucie dosłownie przebijać penis wielki igła ból kłucie masakryczny główka penis randomowych moment kiedyś myśleć słaby umiejętność partneterki partnerka problem mieć iść poradzić wada wrodzony żyć,8,0,18,0,0,3,0,29,37,0.0,0.0,0.8963477129993335,76,0.4482758620689655,0,0,0,0
